,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
p,6.0/6.75 = 0.8884,8.0/5.46 = 1.4650,9.0/5.17 = 1.7397,10.0/6.90 = 1.4498,10.0/4.89 = 2.0467,1.0/5.46 = 0.1831,3.0/2.44 = 1.2280,1.0/2.87 = 0.3479,4.0/4.45 = 0.8979,4.0/3.45 = 1.1598,0.0/2.73 = 0.0000,1.0/3.74 = 0.2677,4.0/6.75 = 0.5922,8.0/8.19 = 0.9767,4.0/3.74 = 1.0706
t,14.0/9.07 = 1.5441,8.0/7.33 = 1.0913,9.0/6.94 = 1.2959,6.0/9.26 = 0.6480,7.0/6.56 = 1.0672,6.0/7.33 = 0.8185,0.0/3.28 = 0.0000,5.0/3.86 = 1.2959,3.0/5.98 = 0.5016,5.0/4.63 = 1.0799,5.0/3.67 = 1.3641,4.0/5.02 = 0.7975,8.0/9.07 = 0.8823,10.0/11.00 = 0.9094,8.0/5.02 = 1.5950
k,11.0/7.86 = 1.3987,11.0/6.36 = 1.7300,8.0/6.02 = 1.3281,16.0/8.03 = 1.9922,1.0/5.69 = 0.1758,4.0/6.36 = 0.6291,2.0/2.84 = 0.7031,4.0/3.35 = 1.1953,4.0/5.19 = 0.7712,0.0/4.02 = 0.0000,2.0/3.18 = 0.6291,6.0/4.35 = 1.3792,6.0/7.86 = 0.7630,10.0/9.54 = 1.0485,0.0/4.35 = 0.0000
c,6.0/5.92 = 1.0133,0.0/4.79 = 0.0000,9.0/4.54 = 1.9844,10.0/6.05 = 1.6536,7.0/4.28 = 1.6342,5.0/4.79 = 1.0444,0.0/2.14 = 0.0000,4.0/2.52 = 1.5875,2.0/3.91 = 0.5121,3.0/3.02 = 0.9922,0.0/2.39 = 0.0000,1.0/3.28 = 0.3053,8.0/5.92 = 1.3511,2.0/7.18 = 0.2785,7.0/3.28 = 2.1370
q,9.0/5.83 = 1.5441,10.0/4.71 = 2.1220,0.0/4.46 = 0.0000,6.0/5.95 = 1.0079,8.0/4.22 = 1.8973,3.0/4.71 = 0.6366,4.0/2.11 = 1.8973,0.0/2.48 = 0.0000,4.0/3.84 = 1.0405,0.0/2.98 = 0.0000,7.0/2.36 = 2.9708,3.0/3.22 = 0.9304,0.0/5.83 = 0.0000,9.0/7.07 = 1.2732,0.0/3.22 = 0.0000
P,0.0/2.22 = 0.0000,1.0/1.80 = 0.5570,0.0/1.70 = 0.0000,0.0/2.27 = 0.0000,0.0/1.61 = 0.0000,4.0/1.80 = 2.2281,0.0/0.80 = 0.0000,0.0/0.94 = 0.0000,2.0/1.46 = 1.3656,1.0/1.13 = 0.8819,0.0/0.90 = 0.0000,5.0/1.23 = 4.0705,5.0/2.22 = 2.2518,4.0/2.69 = 1.4854,2.0/1.23 = 1.6282
T,0.0/1.20 = 0.0000,0.0/0.97 = 0.0000,0.0/0.92 = 0.0000,0.0/1.23 = 0.0000,0.0/0.87 = 0.0000,1.0/0.97 = 1.0283,6.0/0.44 = 13.7919,1.0/0.51 = 1.9538,0.0/0.79 = 0.0000,0.0/0.61 = 0.0000,0.0/0.49 = 0.0000,0.0/0.67 = 0.0000,4.0/1.20 = 3.3257,1.0/1.46 = 0.6856,0.0/0.67 = 0.0000
K,0.0/1.67 = 0.0000,0.0/1.35 = 0.0000,1.0/1.28 = 0.7840,0.0/1.70 = 0.0000,0.0/1.20 = 0.0000,1.0/1.35 = 0.7427,2.0/0.60 = 3.3203,5.0/0.71 = 7.0556,1.0/1.10 = 0.9104,0.0/0.85 = 0.0000,0.0/0.67 = 0.0000,3.0/0.92 = 3.2564,0.0/1.67 = 0.0000,5.0/2.02 = 2.4756,0.0/0.92 = 0.0000
C,0.0/1.02 = 0.0000,0.0/0.82 = 0.0000,0.0/0.78 = 0.0000,0.0/1.04 = 0.0000,0.0/0.74 = 0.0000,2.0/0.82 = 2.4306,0.0/0.37 = 0.0000,0.0/0.43 = 0.0000,7.0/0.67 = 10.4282,0.0/0.52 = 0.0000,0.0/0.41 = 0.0000,0.0/0.56 = 0.0000,0.0/1.02 = 0.0000,0.0/1.23 = 0.0000,2.0/0.56 = 3.5524
Q,0.0/1.39 = 0.0000,0.0/1.12 = 0.0000,0.0/1.06 = 0.0000,0.0/1.42 = 0.0000,0.0/1.00 = 0.0000,1.0/1.12 = 0.8912,0.0/0.50 = 0.0000,0.0/0.59 = 0.0000,4.0/0.92 = 4.3699,6.0/0.71 = 8.4667,0.0/0.56 = 0.0000,2.0/0.77 = 2.6051,0.0/1.39 = 0.0000,2.0/1.68 = 1.1883,0.0/0.77 = 0.0000
