,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
p,7.0/8.55 = 0.8191,10.0/6.66 = 1.5008,11.0/6.52 = 1.6876,10.0/8.26 = 1.2112,13.0/6.37 = 2.0397,1.0/5.50 = 0.1817,3.0/2.75 = 1.0900,1.0/3.19 = 0.3138,4.0/4.92 = 0.8122,5.0/3.62 = 1.3807,0.0/3.04 = 0.0000,2.0/4.20 = 0.4761,4.0/7.39 = 0.5415,8.0/8.26 = 0.9689,4.0/3.77 = 1.0621
t,16.0/11.84 = 1.3512,11.0/9.23 = 1.1915,12.0/9.03 = 1.3287,8.0/11.44 = 0.6993,9.0/8.83 = 1.0192,6.0/7.63 = 0.7867,2.0/3.81 = 0.5245,5.0/4.42 = 1.1324,3.0/6.82 = 0.4396,5.0/5.02 = 0.9965,6.0/4.21 = 1.4236,4.0/5.82 = 0.6873,10.0/10.24 = 0.9770,10.0/11.44 = 0.8741,8.0/5.22 = 1.5331
k,15.0/10.30 = 1.4568,14.0/8.03 = 1.7439,9.0/7.85 = 1.1460,20.0/9.95 = 2.0105,2.0/7.68 = 0.2605,4.0/6.63 = 0.6032,2.0/3.32 = 0.6032,4.0/3.84 = 1.0418,5.0/5.93 = 0.8426,0.0/4.36 = 0.0000,2.0/3.66 = 0.5457,7.0/5.06 = 1.3831,6.0/8.90 = 0.6741,10.0/9.95 = 1.0053,0.0/4.54 = 0.0000
c,7.0/7.31 = 0.9575,0.0/5.70 = 0.0000,11.0/5.58 = 1.9728,11.0/7.06 = 1.5574,8.0/5.45 = 1.4673,5.0/4.71 = 1.0619,0.0/2.35 = 0.0000,4.0/2.73 = 1.4673,2.0/4.21 = 0.4747,3.0/3.10 = 0.9685,1.0/2.60 = 0.3843,1.0/3.59 = 0.2783,9.0/6.32 = 1.4242,2.0/7.06 = 0.2832,7.0/3.22 = 2.1728
q,10.0/7.10 = 1.4075,10.0/5.54 = 1.8053,0.0/5.42 = 0.0000,7.0/6.86 = 1.0198,10.0/5.30 = 1.8874,3.0/4.58 = 0.6556,4.0/2.29 = 1.7483,0.0/2.65 = 0.0000,5.0/4.09 = 1.2212,0.0/3.01 = 0.0000,7.0/2.53 = 2.7681,4.0/3.49 = 1.1454,0.0/6.14 = 0.0000,9.0/6.86 = 1.3112,0.0/3.13 = 0.0000
P,0.0/2.47 = 0.0000,1.0/1.93 = 0.5190,0.0/1.88 = 0.0000,0.0/2.39 = 0.0000,0.0/1.84 = 0.0000,4.0/1.59 = 2.5132,0.0/0.80 = 0.0000,0.0/0.92 = 0.0000,2.0/1.42 = 1.4044,1.0/1.05 = 0.9550,0.0/0.88 = 0.0000,5.0/1.21 = 4.1164,5.0/2.14 = 2.3407,4.0/2.39 = 1.6754,2.0/1.09 = 1.8365
T,0.0/1.34 = 0.0000,0.0/1.04 = 0.0000,0.0/1.02 = 0.0000,0.0/1.29 = 0.0000,0.0/1.00 = 0.0000,1.0/0.86 = 1.1599,6.0/0.43 = 13.9190,1.0/0.50 = 2.0035,0.0/0.77 = 0.0000,0.0/0.57 = 0.0000,0.0/0.48 = 0.0000,0.0/0.66 = 0.0000,4.0/1.16 = 3.4570,1.0/1.29 = 0.7733,0.0/0.59 = 0.0000
K,0.0/2.06 = 0.0000,0.0/1.61 = 0.0000,1.0/1.57 = 0.6367,0.0/1.99 = 0.0000,0.0/1.54 = 0.0000,1.0/1.33 = 0.7539,2.0/0.66 = 3.0158,7.0/0.77 = 9.1159,1.0/1.19 = 0.8426,0.0/0.87 = 0.0000,0.0/0.73 = 0.0000,3.0/1.01 = 2.9638,0.0/1.78 = 0.0000,5.0/1.99 = 2.5132,0.0/0.91 = 0.0000
C,1.0/1.34 = 0.7471,0.0/1.04 = 0.0000,0.0/1.02 = 0.0000,0.0/1.29 = 0.0000,0.0/1.00 = 0.0000,2.0/0.86 = 2.3198,0.0/0.43 = 0.0000,0.0/0.50 = 0.0000,8.0/0.77 = 10.3710,0.0/0.57 = 0.0000,0.0/0.48 = 0.0000,0.0/0.66 = 0.0000,0.0/1.16 = 0.0000,0.0/1.29 = 0.0000,2.0/0.59 = 3.3905
Q,0.0/1.65 = 0.0000,0.0/1.28 = 0.0000,0.0/1.26 = 0.0000,1.0/1.59 = 0.6283,0.0/1.23 = 0.0000,1.0/1.06 = 0.9424,0.0/0.53 = 0.0000,0.0/0.61 = 0.0000,4.0/0.95 = 4.2132,6.0/0.70 = 8.5950,0.0/0.59 = 0.0000,2.0/0.81 = 2.4698,0.0/1.42 = 0.0000,2.0/1.59 = 1.2566,0.0/0.73 = 0.0000
b,0.0/0.51 = 0.0000,0.0/0.40 = 0.0000,0.0/0.39 = 0.0000,0.0/0.50 = 0.0000,0.0/0.38 = 0.0000,0.0/0.33 = 0.0000,0.0/0.17 = 0.0000,0.0/0.19 = 0.0000,0.0/0.30 = 0.0000,0.0/0.22 = 0.0000,5.0/0.18 = 27.2857,0.0/0.25 = 0.0000,0.0/0.45 = 0.0000,0.0/0.50 = 0.0000,0.0/0.23 = 0.0000
d,3.0/1.03 = 2.9136,0.0/0.80 = 0.0000,0.0/0.79 = 0.0000,0.0/0.99 = 0.0000,1.0/0.77 = 1.3023,2.0/0.66 = 3.0158,0.0/0.33 = 0.0000,0.0/0.38 = 0.0000,0.0/0.59 = 0.0000,2.0/0.44 = 4.5840,0.0/0.37 = 0.0000,1.0/0.51 = 1.9759,0.0/0.89 = 0.0000,0.0/0.99 = 0.0000,1.0/0.45 = 2.2038
g,0.0/1.65 = 0.0000,0.0/1.28 = 0.0000,0.0/1.26 = 0.0000,0.0/1.59 = 0.0000,0.0/1.23 = 0.0000,3.0/1.06 = 2.8273,0.0/0.53 = 0.0000,0.0/0.61 = 0.0000,0.0/0.95 = 0.0000,0.0/0.70 = 0.0000,0.0/0.59 = 0.0000,0.0/0.81 = 0.0000,13.0/1.42 = 9.1287,0.0/1.59 = 0.0000,0.0/0.73 = 0.0000
z,0.0/1.54 = 0.0000,0.0/1.20 = 0.0000,1.0/1.18 = 0.8489,0.0/1.49 = 0.0000,1.0/1.15 = 0.8682,4.0/0.99 = 4.0211,0.0/0.50 = 0.0000,0.0/0.58 = 0.0000,0.0/0.89 = 0.0000,3.0/0.65 = 4.5840,0.0/0.55 = 0.0000,0.0/0.76 = 0.0000,0.0/1.34 = 0.0000,6.0/1.49 = 4.0211,0.0/0.68 = 0.0000
G,0.0/0.31 = 0.0000,0.0/0.24 = 0.0000,0.0/0.24 = 0.0000,0.0/0.30 = 0.0000,0.0/0.23 = 0.0000,1.0/0.20 = 5.0263,0.0/0.10 = 0.0000,0.0/0.12 = 0.0000,0.0/0.18 = 0.0000,0.0/0.13 = 0.0000,0.0/0.11 = 0.0000,0.0/0.15 = 0.0000,0.0/0.27 = 0.0000,0.0/0.30 = 0.0000,2.0/0.14 = 14.6923
