,p,t,k,q,c,P,T,K,Q,C,b,d,g,G,z
p,2.0/2.79 = 0.7160,5.0/2.82 = 1.7726,6.0/2.36 = 2.5476,6.0/2.71 = 2.2131,7.0/2.71 = 2.5819,1.0/1.86 = 0.5370,1.0/1.26 = 0.7938,1.0/1.20 = 0.8299,4.0/1.31 = 3.0430,4.0/2.00 = 2.0009,0.0/0.85 = 0.0000,2.0/1.73 = 1.1592,2.0/2.52 = 0.7938,4.0/1.53 = 2.6083,5.0/3.07 = 1.6302
t,9.0/3.78 = 2.3839,7.0/3.81 = 1.8361,8.0/3.18 = 2.5132,3.0/3.66 = 0.8187,4.0/3.66 = 1.0916,3.0/2.52 = 1.1919,2.0/1.70 = 1.1747,3.0/1.63 = 1.8421,4.0/1.78 = 2.2514,2.0/2.70 = 0.7402,5.0/1.15 = 4.3576,1.0/2.33 = 0.4288,6.0/3.41 = 1.7620,4.0/2.07 = 1.9298,7.0/4.15 = 1.6886
k,7.0/3.38 = 2.0694,8.0/3.42 = 2.3421,3.0/2.85 = 1.0519,0.0/3.28 = 0.0000,11.0/3.28 = 3.3505,1.0/2.26 = 0.4435,1.0/1.53 = 0.6555,1.0/1.46 = 0.6853,0.0/1.59 = 0.0000,3.0/2.42 = 1.2392,1.0/1.03 = 0.9727,3.0/2.09 = 1.4359,3.0/3.05 = 0.9833,0.0/1.86 = 0.0000,5.0/3.71 = 1.3462
q,5.0/2.60 = 1.9254,4.0/2.62 = 1.5253,0.0/2.19 = 0.0000,4.0/2.52 = 1.5870,3.0/2.52 = 1.1902,1.0/1.73 = 0.5776,3.0/1.17 = 2.5616,0.0/1.12 = 0.0000,0.0/1.22 = 0.0000,3.0/1.86 = 1.6141,2.0/0.79 = 2.5340,4.0/1.60 = 2.4938,0.0/2.34 = 0.0000,0.0/1.43 = 0.0000,6.0/2.85 = 2.1041
c,6.0/2.23 = 2.6955,0.0/2.25 = 0.0000,8.0/1.88 = 4.2627,4.0/2.16 = 1.8515,6.0/2.16 = 2.7772,4.0/1.48 = 2.6955,0.0/1.00 = 0.0000,4.0/0.96 = 4.1658,2.0/1.05 = 1.9093,1.0/1.59 = 0.6277,1.0/0.68 = 1.4782,0.0/1.37 = 0.0000,6.0/2.01 = 2.9885,5.0/1.22 = 4.0914,0.0/2.44 = 0.0000
P,0.0/0.83 = 0.0000,1.0/0.84 = 1.1942,0.0/0.70 = 0.0000,0.0/0.80 = 0.0000,0.0/0.80 = 0.0000,2.0/0.55 = 3.6176,0.0/0.37 = 0.0000,0.0/0.36 = 0.0000,1.0/0.39 = 2.5625,1.0/0.59 = 1.6849,0.0/0.25 = 0.0000,1.0/0.51 = 1.9524,2.0/0.75 = 2.6739,2.0/0.46 = 4.3929,2.0/0.91 = 2.1964
T,0.0/0.55 = 0.0000,0.0/0.55 = 0.0000,0.0/0.46 = 0.0000,0.0/0.53 = 0.0000,0.0/0.53 = 0.0000,1.0/0.36 = 2.7494,5.0/0.25 = 20.3217,1.0/0.24 = 4.2491,0.0/0.26 = 0.0000,0.0/0.39 = 0.0000,0.0/0.17 = 0.0000,0.0/0.34 = 0.0000,4.0/0.49 = 8.1287,0.0/0.30 = 0.0000,1.0/0.60 = 1.6693
K,0.0/1.00 = 0.0000,0.0/1.01 = 0.0000,0.0/0.85 = 0.0000,0.0/0.97 = 0.0000,0.0/0.97 = 0.0000,1.0/0.67 = 1.4942,1.0/0.45 = 2.2089,1.0/0.43 = 2.3093,0.0/0.47 = 0.0000,0.0/0.72 = 0.0000,0.0/0.31 = 0.0000,1.0/0.62 = 1.6128,0.0/0.91 = 0.0000,0.0/0.55 = 0.0000,4.0/1.10 = 3.6289
Q,0.0/0.63 = 0.0000,0.0/0.64 = 0.0000,0.0/0.53 = 0.0000,0.0/0.61 = 0.0000,0.0/0.61 = 0.0000,1.0/0.42 = 2.3702,0.0/0.29 = 0.0000,0.0/0.27 = 0.0000,1.0/0.30 = 3.3578,3.0/0.45 = 6.6235,0.0/0.19 = 0.0000,1.0/0.39 = 2.5583,0.0/0.57 = 0.0000,0.0/0.35 = 0.0000,0.0/0.69 = 0.0000
C,0.0/0.50 = 0.0000,0.0/0.51 = 0.0000,0.0/0.42 = 0.0000,0.0/0.49 = 0.0000,0.0/0.49 = 0.0000,2.0/0.33 = 5.9770,0.0/0.23 = 0.0000,0.0/0.22 = 0.0000,0.0/0.24 = 0.0000,4.0/0.36 = 11.1352,0.0/0.15 = 0.0000,0.0/0.31 = 0.0000,0.0/0.45 = 0.0000,2.0/0.28 = 7.2578,0.0/0.55 = 0.0000
