Word	Prefix	Stem	Tone	POS	Class	Gloss	No	Note	Dialect
a-a			HL	i.		(tone as sol-fa s-m) no	1		
aaa			LHL	i.		(tone as sol-fa r-s-m) no	2		
aaaa			HHLL	i.		I see!	3		
aba	aba		LL	a.	2	these (people)	4		
aba	a	ba	LL	v.		he/she is	5		
abiine	ab	iine	LLLL	v.		he/she has them	6		
abiri	a	biri	LLL	a.	2	"two (eggs, etc.); used, an abbreviation for makumi abiri: tw"	7		
abwine	abw	ine	LLL	v.		he/she has it/them	8		
aga			LL	a.	6	"this, these"	9		
againe	aga	ine	LLLL	v.		he/she has it/them	10		
agandi	aga	ndi	LFL	a.	6?	"another, the other(s)"	11		
agandi?	aga	ndi	LFL	i.		how are you? (lit. what is the other news?)	12		
agiine	agi	ine	LLLL	v.		he/she has it/them	13		
aha	aha		LL	i.	16	"here; at, on, to; about "	14	"(e.g., ah‡ mbwa: about dogs)"	
ahabiso	aha	biso	LLLL	i.	16	"ago, formerly"	15		
ahabwa	aha	bwa	LLL	i.	16	"for, on account of, on behalf of; ahabwa ki? what for?"	16		
ahabwabo	aha	bwabo	LLFL	i.	16	for them	17		
ahabwaitu	aha	bwaitu	LLHLL	i.	16	for us	18		
ahabwangye	aha	bwangye	LLLL	i.	16	"as for me, for me"	19		
ahabwanyu	aha	bwanyu	LLFL	i.	16	for you (pl.)	20		
ahabwawe	aha	bwawe	LLLL	i.	16	for you (sing.)	21		
ahabwe	aha	bwe	LLL	i.	16	for him/her	22		
ahabwenki?	aha	bwenki?	LLFL	i.	16	why?	23		
ahakya	aha	kya	LLL	i.	16	on the (date)	24		
ahanki?	aha	nki?	LLL	i.	16	(coll.) (A) why?	25		
ahari	aha	ri	LLL	i.	16	"at, on, to; about (used with proper names and pronouns)"	26		
ahariinye	aha	riinye	LLHLL	i.	16	I think...	27		
ahe!			HL	i.		oh! (of pain)	28		(K)
ahi!			HL	i.		oh! (of pain)	29		(A)
ai			HH	i.		"O (of address); oh! (of sympathy or surprise); ‡’ b‡mbe! oh,"	30		
aine			LLL	v.		he/she has	31		
aka		aka	LL	d.	12	this (small thing)	32		
ab'	ab	'	L	a.	2	of	33		
aba	aba		LL	a.	2	of	34		
ba		ba	L	d.		ba bantu: those very people	35		(K)
abaabandize	aba	abandize	LLLLHL	a.	2	"previous, first (people)"	36		
*baabaro	baa	baro	LLHL	n.	2a	your husbands	37		
baabaroza	baa	baroza	LLLLL	n.	2a	governors	38		
abaabo	aba	abo	LHLL	a.	2	their(s)	39		
abaabwo	aba	abwo	LLLL	a.	2	"its, their(s)"	40		
abaabyo	aba	abyo	LLLL	a.	2	their(s)	41		
baadereeva	baa	dereeva	LLLHLL	n.	2a	drivers	42		
baadiisi	baa	diisi	LLHHL	n.	2a	D.C.'s; District Commissioners	43		
Abaafrika	aba	afrika	LHHLL	n.	2	Africans	44		
baagi	baa	gi	LLL	n.	2a	badge	45		
abaago	aba	ago	LLLL	a.	2	"its, their(s)"	46		
abaagwo	aba	agwo	LLLL	a.	2	its	47		
baaha?	baa	ha?	LLL	a.	2a	who? (pl.)	48		
