,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
C,4.0/4.46 = 0.8960,2.0/8.04 = 0.2489,3.0/6.25 = 0.4800,1.0/4.64 = 0.2154,3.0/3.75 = 0.8000,1.0/0.54 = 1.8667,0.0/1.79 = 0.0000,0.0/0.89 = 0.0000,4.0/1.07 = 3.7333,3.0/0.71 = 4.2000,0.0/0.18 = 0.0000,0.0/0.54 = 0.0000,0.0/0.36 = 0.0000,0.0/0.71 = 0.0000,0.0/0.18 = 0.0000
G,4.0/5.36 = 0.7467,4.0/9.64 = 0.4148,0.0/7.50 = 0.0000,5.0/5.57 = 0.8974,0.0/4.50 = 0.0000,2.0/0.64 = 3.1111,0.0/2.14 = 0.0000,0.0/1.07 = 0.0000,2.0/1.29 = 1.5556,0.0/0.86 = 0.0000,0.0/0.21 = 0.0000,0.0/0.64 = 0.0000,0.0/0.43 = 0.0000,0.0/0.86 = 0.0000,1.0/0.21 = 4.6667
K,1.0/3.57 = 0.2800,3.0/6.43 = 0.4667,1.0/5.00 = 0.2000,4.0/3.71 = 1.0769,0.0/3.00 = 0.0000,0.0/0.43 = 0.0000,1.0/1.43 = 0.7000,1.0/0.71 = 1.4000,0.0/0.86 = 0.0000,0.0/0.57 = 0.0000,0.0/0.14 = 0.0000,0.0/0.43 = 0.0000,0.0/0.29 = 0.0000,0.0/0.57 = 0.0000,0.0/0.14 = 0.0000
P,1.0/4.46 = 0.2240,3.0/8.04 = 0.3733,1.0/6.25 = 0.1600,4.0/4.64 = 0.8615,1.0/3.75 = 0.2667,2.0/0.54 = 3.7333,1.0/1.79 = 0.5600,1.0/0.89 = 1.1200,2.0/1.07 = 1.8667,1.0/0.71 = 1.4000,0.0/0.18 = 0.0000,1.0/0.54 = 1.8667,2.0/0.36 = 5.6000,3.0/0.71 = 4.2000,1.0/0.18 = 5.6000
Q,4.0/4.46 = 0.8960,4.0/8.04 = 0.4978,0.0/6.25 = 0.0000,2.0/4.64 = 0.4308,0.0/3.75 = 0.0000,1.0/0.54 = 1.8667,0.0/1.79 = 0.0000,0.0/0.89 = 0.0000,0.0/1.07 = 0.0000,1.0/0.71 = 1.4000,0.0/0.18 = 0.0000,2.0/0.54 = 3.7333,0.0/0.36 = 0.0000,3.0/0.71 = 4.2000,0.0/0.18 = 0.0000
T,1.0/4.91 = 0.2036,2.0/8.84 = 0.2263,1.0/6.88 = 0.1455,0.0/5.11 = 0.0000,3.0/4.12 = 0.7273,0.0/0.59 = 0.0000,5.0/1.96 = 2.5455,1.0/0.98 = 1.0182,0.0/1.18 = 0.0000,0.0/0.79 = 0.0000,0.0/0.20 = 0.0000,0.0/0.59 = 0.0000,0.0/0.39 = 0.0000,0.0/0.79 = 0.0000,0.0/0.20 = 0.0000
b,0.0/3.57 = 0.0000,5.0/6.43 = 0.7778,1.0/5.00 = 0.2000,1.0/3.71 = 0.2692,2.0/3.00 = 0.6667,0.0/0.43 = 0.0000,0.0/1.43 = 0.0000,0.0/0.71 = 0.0000,0.0/0.86 = 0.0000,0.0/0.57 = 0.0000,1.0/0.14 = 7.0000,0.0/0.43 = 0.0000,0.0/0.29 = 0.0000,0.0/0.57 = 0.0000,0.0/0.14 = 0.0000
c,7.0/13.84 = 0.5058,4.0/24.91 = 0.1606,11.0/19.38 = 0.5677,6.0/14.39 = 0.4169,3.0/11.62 = 0.2581,0.0/1.66 = 0.0000,0.0/5.54 = 0.0000,0.0/2.77 = 0.0000,0.0/3.32 = 0.0000,0.0/2.21 = 0.0000,0.0/0.55 = 0.0000,0.0/1.66 = 0.0000,0.0/1.11 = 0.0000,0.0/2.21 = 0.0000,0.0/0.55 = 0.0000
d,2.0/4.46 = 0.4480,1.0/8.04 = 0.1244,3.0/6.25 = 0.4800,0.0/4.64 = 0.0000,4.0/3.75 = 1.0667,1.0/0.54 = 1.8667,0.0/1.79 = 0.0000,1.0/0.89 = 1.1200,0.0/1.07 = 0.0000,1.0/0.71 = 1.4000,0.0/0.18 = 0.0000,0.0/0.54 = 0.0000,0.0/0.36 = 0.0000,0.0/0.71 = 0.0000,0.0/0.18 = 0.0000
g,2.0/6.70 = 0.2987,6.0/12.05 = 0.4978,3.0/9.38 = 0.3200,6.0/6.96 = 0.8615,0.0/5.62 = 0.0000,2.0/0.80 = 2.4889,4.0/2.68 = 1.4933,0.0/1.34 = 0.0000,0.0/1.61 = 0.0000,0.0/1.07 = 0.0000,0.0/0.27 = 0.0000,0.0/0.80 = 0.0000,2.0/0.54 = 3.7333,0.0/1.07 = 0.0000,0.0/0.27 = 0.0000
