,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
C,4.0/10.00 = 0.4000,2.0/7.86 = 0.2545,2.0/7.86 = 0.2545,1.0/7.50 = 0.1333,2.0/5.71 = 0.3500,1.0/1.07 = 0.9333,0.0/3.57 = 0.0000,0.0/1.79 = 0.0000,3.0/1.79 = 1.6800,3.0/1.43 = 2.1000,0.0/0.36 = 0.0000,0.0/1.07 = 0.0000,0.0/0.71 = 0.0000,0.0/1.43 = 0.0000,0.0/0.36 = 0.0000
G,4.0/12.00 = 0.3333,4.0/9.43 = 0.4242,0.0/9.43 = 0.0000,5.0/9.00 = 0.5556,0.0/6.86 = 0.0000,2.0/1.29 = 1.5556,0.0/4.29 = 0.0000,0.0/2.14 = 0.0000,2.0/2.14 = 0.9333,0.0/1.71 = 0.0000,0.0/0.43 = 0.0000,0.0/1.29 = 0.0000,0.0/0.86 = 0.0000,0.0/1.71 = 0.0000,1.0/0.43 = 2.3333
K,1.0/8.00 = 0.1250,3.0/6.29 = 0.4773,1.0/6.29 = 0.1591,4.0/6.00 = 0.6667,0.0/4.57 = 0.0000,0.0/0.86 = 0.0000,1.0/2.86 = 0.3500,1.0/1.43 = 0.7000,0.0/1.43 = 0.0000,0.0/1.14 = 0.0000,0.0/0.29 = 0.0000,0.0/0.86 = 0.0000,0.0/0.57 = 0.0000,0.0/1.14 = 0.0000,0.0/0.29 = 0.0000
P,1.0/10.00 = 0.1000,3.0/7.86 = 0.3818,1.0/7.86 = 0.1273,4.0/7.50 = 0.5333,1.0/5.71 = 0.1750,2.0/1.07 = 1.8667,1.0/3.57 = 0.2800,1.0/1.79 = 0.5600,2.0/1.79 = 1.1200,1.0/1.43 = 0.7000,0.0/0.36 = 0.0000,1.0/1.07 = 0.9333,2.0/0.71 = 2.8000,3.0/1.43 = 2.1000,1.0/0.36 = 2.8000
Q,3.0/10.00 = 0.3000,4.0/7.86 = 0.5091,0.0/7.86 = 0.0000,2.0/7.50 = 0.2667,0.0/5.71 = 0.0000,1.0/1.07 = 0.9333,0.0/3.57 = 0.0000,0.0/1.79 = 0.0000,0.0/1.79 = 0.0000,1.0/1.43 = 0.7000,0.0/0.36 = 0.0000,2.0/1.07 = 1.8667,0.0/0.71 = 0.0000,3.0/1.43 = 2.1000,0.0/0.36 = 0.0000
T,1.0/9.00 = 0.1111,0.0/7.07 = 0.0000,1.0/7.07 = 0.1414,0.0/6.75 = 0.0000,3.0/5.14 = 0.5833,0.0/0.96 = 0.0000,5.0/3.21 = 1.5556,1.0/1.61 = 0.6222,0.0/1.61 = 0.0000,0.0/1.29 = 0.0000,0.0/0.32 = 0.0000,0.0/0.96 = 0.0000,0.0/0.64 = 0.0000,0.0/1.29 = 0.0000,0.0/0.32 = 0.0000
b,0.0/7.00 = 0.0000,4.0/5.50 = 0.7273,1.0/5.50 = 0.1818,0.0/5.25 = 0.0000,2.0/4.00 = 0.5000,0.0/0.75 = 0.0000,0.0/2.50 = 0.0000,0.0/1.25 = 0.0000,0.0/1.25 = 0.0000,0.0/1.00 = 0.0000,1.0/0.25 = 4.0000,0.0/0.75 = 0.0000,0.0/0.50 = 0.0000,0.0/1.00 = 0.0000,0.0/0.25 = 0.0000
c,7.0/17.00 = 0.4118,3.0/13.36 = 0.2246,7.0/13.36 = 0.5241,5.0/12.75 = 0.3922,2.0/9.71 = 0.2059,0.0/1.82 = 0.0000,0.0/6.07 = 0.0000,0.0/3.04 = 0.0000,0.0/3.04 = 0.0000,0.0/2.43 = 0.0000,0.0/0.61 = 0.0000,0.0/1.82 = 0.0000,0.0/1.21 = 0.0000,0.0/2.43 = 0.0000,0.0/0.61 = 0.0000
d,1.0/6.00 = 0.1667,1.0/4.71 = 0.2121,2.0/4.71 = 0.4242,0.0/4.50 = 0.0000,3.0/3.43 = 0.8750,1.0/0.64 = 1.5556,0.0/2.14 = 0.0000,1.0/1.07 = 0.9333,0.0/1.07 = 0.0000,1.0/0.86 = 1.1667,0.0/0.21 = 0.0000,0.0/0.64 = 0.0000,0.0/0.43 = 0.0000,0.0/0.86 = 0.0000,0.0/0.21 = 0.0000
g,2.0/14.00 = 0.1429,4.0/11.00 = 0.3636,3.0/11.00 = 0.2727,5.0/10.50 = 0.4762,0.0/8.00 = 0.0000,2.0/1.50 = 1.3333,4.0/5.00 = 0.8000,0.0/2.50 = 0.0000,0.0/2.50 = 0.0000,0.0/2.00 = 0.0000,0.0/0.50 = 0.0000,0.0/1.50 = 0.0000,2.0/1.00 = 2.0000,0.0/2.00 = 0.0000,0.0/0.50 = 0.0000
k,5.0/13.00 = 0.3846,5.0/10.21 = 0.4895,2.0/10.21 = 0.1958,6.0/9.75 = 0.6154,0.0/7.43 = 0.0000,0.0/1.39 = 0.0000,0.0/4.64 = 0.0000,0.0/2.32 = 0.0000,0.0/2.32 = 0.0000,0.0/1.86 = 0.0000,0.0/0.46 = 0.0000,0.0/1.39 = 0.0000,0.0/0.93 = 0.0000,0.0/1.86 = 0.0000,0.0/0.46 = 0.0000
p,1.0/17.00 = 0.0588,7.0/13.36 = 0.5241,4.0/13.36 = 0.2995,5.0/12.75 = 0.3922,4.0/9.71 = 0.4118,0.0/1.82 = 0.0000,0.0/6.07 = 0.0000,0.0/3.04 = 0.0000,0.0/3.04 = 0.0000,0.0/2.43 = 0.0000,0.0/0.61 = 0.0000,0.0/1.82 = 0.0000,0.0/1.21 = 0.0000,0.0/2.43 = 0.0000,0.0/0.61 = 0.0000
q,6.0/10.00 = 0.6000,3.0/7.86 = 0.3818,0.0/7.86 = 0.0000,3.0/7.50 = 0.4000,3.0/5.71 = 0.5250,0.0/1.07 = 0.0000,0.0/3.57 = 0.0000,0.0/1.79 = 0.0000,0.0/1.79 = 0.0000,0.0/1.43 = 0.0000,0.0/0.36 = 0.0000,0.0/1.07 = 0.0000,0.0/0.71 = 0.0000,1.0/1.43 = 0.7000,0.0/0.36 = 0.0000
t,3.0/13.00 = 0.2308,4.0/10.21 = 0.3916,5.0/10.21 = 0.4895,0.0/9.75 = 0.0000,4.0/7.43 = 0.5385,1.0/1.39 = 0.7179,0.0/4.64 = 0.0000,0.0/2.32 = 0.0000,0.0/2.32 = 0.0000,0.0/1.86 = 0.0000,0.0/0.46 = 0.0000,0.0/1.39 = 0.0000,0.0/0.93 = 0.0000,0.0/1.86 = 0.0000,0.0/0.46 = 0.0000
z,5.0/28.00 = 0.1786,7.0/22.00 = 0.3182,5.0/22.00 = 0.2273,0.0/21.00 = 0.0000,6.0/16.00 = 0.3750,2.0/3.00 = 0.6667,1.0/10.00 = 0.1000,4.0/5.00 = 0.8000,0.0/5.00 = 0.0000,0.0/4.00 = 0.0000,0.0/1.00 = 0.0000,0.0/3.00 = 0.0000,0.0/2.00 = 0.0000,3.0/4.00 = 0.7500,0.0/1.00 = 0.0000
