,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
p,7.0/21.33 = 0.3281,10.0/14.77 = 0.6771,11.0/13.54 = 0.8125,10.0/23.38 = 0.4276,13.0/17.64 = 0.7369,1.0/8.62 = 0.1161,3.0/6.15 = 0.4875,1.0/6.97 = 0.1434,4.0/9.44 = 0.4239,5.0/6.97 = 0.7169,0.0/8.62 = 0.0000,2.0/9.03 = 0.2216,4.0/19.28 = 0.2074,8.0/18.46 = 0.4333,4.0/9.03 = 0.4432
t,16.0/28.67 = 0.5581,11.0/19.85 = 0.5543,12.0/18.19 = 0.6596,8.0/31.42 = 0.2546,9.0/23.71 = 0.3797,6.0/11.58 = 0.5183,2.0/8.27 = 0.2419,5.0/9.37 = 0.5335,3.0/12.68 = 0.2366,5.0/9.37 = 0.5335,6.0/11.58 = 0.5183,4.0/12.13 = 0.3298,10.0/25.91 = 0.3859,10.0/24.81 = 0.4031,8.0/12.13 = 0.6596
k,15.0/30.67 = 0.4891,14.0/21.23 = 0.6594,9.0/19.46 = 0.4625,20.0/33.62 = 0.5950,2.0/25.36 = 0.0789,4.0/12.38 = 0.3230,2.0/8.85 = 0.2261,4.0/10.03 = 0.3990,5.0/13.56 = 0.3686,0.0/10.03 = 0.0000,2.0/12.38 = 0.1615,7.0/12.97 = 0.5395,6.0/27.72 = 0.2165,10.0/26.54 = 0.3768,0.0/12.97 = 0.0000
c,7.0/16.67 = 0.4200,0.0/11.54 = 0.0000,11.0/10.58 = 1.0400,11.0/18.27 = 0.6021,8.0/13.78 = 0.5805,5.0/6.73 = 0.7429,0.0/4.81 = 0.0000,4.0/5.45 = 0.7341,2.0/7.37 = 0.2713,3.0/5.45 = 0.5506,1.0/6.73 = 0.1486,1.0/7.05 = 0.1418,9.0/15.06 = 0.5974,2.0/14.42 = 0.1387,7.0/7.05 = 0.9927
q,10.0/12.67 = 0.7895,10.0/8.77 = 1.1404,0.0/8.04 = 0.0000,7.0/13.88 = 0.5042,10.0/10.47 = 0.9547,3.0/5.12 = 0.5865,4.0/3.65 = 1.0947,0.0/4.14 = 0.0000,5.0/5.60 = 0.8924,0.0/4.14 = 0.0000,7.0/5.12 = 1.3684,4.0/5.36 = 0.7464,0.0/11.45 = 0.0000,9.0/10.96 = 0.8211,0.0/5.36 = 0.0000
P,0.0/4.00 = 0.0000,1.0/2.77 = 0.3611,0.0/2.54 = 0.0000,0.0/4.38 = 0.0000,0.0/3.31 = 0.0000,4.0/1.62 = 2.4762,0.0/1.15 = 0.0000,0.0/1.31 = 0.0000,2.0/1.77 = 1.1304,1.0/1.31 = 0.7647,0.0/1.62 = 0.0000,5.0/1.69 = 2.9545,5.0/3.62 = 1.3830,4.0/3.46 = 1.1556,2.0/1.69 = 1.1818
T,0.0/3.67 = 0.0000,0.0/2.54 = 0.0000,0.0/2.33 = 0.0000,0.0/4.02 = 0.0000,0.0/3.03 = 0.0000,1.0/1.48 = 0.6753,6.0/1.06 = 5.6727,1.0/1.20 = 0.8342,0.0/1.62 = 0.0000,0.0/1.20 = 0.0000,0.0/1.48 = 0.0000,0.0/1.55 = 0.0000,4.0/3.31 = 1.2070,1.0/3.17 = 0.3152,0.0/1.55 = 0.0000
K,0.0/6.00 = 0.0000,0.0/4.15 = 0.0000,1.0/3.81 = 0.2626,0.0/6.58 = 0.0000,0.0/4.96 = 0.0000,1.0/2.42 = 0.4127,2.0/1.73 = 1.1556,7.0/1.96 = 3.5686,1.0/2.65 = 0.3768,0.0/1.96 = 0.0000,0.0/2.42 = 0.0000,3.0/2.54 = 1.1818,0.0/5.42 = 0.0000,5.0/5.19 = 0.9630,0.0/2.54 = 0.0000
C,1.0/3.67 = 0.2727,0.0/2.54 = 0.0000,0.0/2.33 = 0.0000,0.0/4.02 = 0.0000,0.0/3.03 = 0.0000,2.0/1.48 = 1.3506,0.0/1.06 = 0.0000,0.0/1.20 = 0.0000,8.0/1.62 = 4.9328,0.0/1.20 = 0.0000,0.0/1.48 = 0.0000,0.0/1.55 = 0.0000,0.0/3.31 = 0.0000,0.0/3.17 = 0.0000,2.0/1.55 = 1.2893
Q,0.0/4.33 = 0.0000,0.0/3.00 = 0.0000,0.0/2.75 = 0.0000,1.0/4.75 = 0.2105,0.0/3.58 = 0.0000,1.0/1.75 = 0.5714,0.0/1.25 = 0.0000,0.0/1.42 = 0.0000,4.0/1.92 = 2.0870,6.0/1.42 = 4.2353,0.0/1.75 = 0.0000,2.0/1.83 = 1.0909,0.0/3.92 = 0.0000,2.0/3.75 = 0.5333,0.0/1.83 = 0.0000
