,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
C,152.0/264.32 = 0.5751,196.0/393.36 = 0.4983,278.0/333.10 = 0.8346,26.0/72.66 = 0.3578,184.0/54.41 = 3.3815,16.0/5.09 = 3.1434,11.0/24.23 = 0.4539,93.0/9.76 = 9.5320,87.0/4.01 = 21.6925,148.0/14.88 = 9.9473,1.0/0.21 = 4.7250,15.0/41.17 = 0.3643,0.0/0.39 = 0.0000,0.0/1.31 = 0.0000,0.0/0.19 = 0.0000
G,478.0/325.42 = 1.4689,341.0/484.28 = 0.7041,316.0/410.10 = 0.7705,222.0/89.45 = 2.4818,33.0/66.99 = 0.4926,22.0/6.27 = 3.5107,13.0/29.83 = 0.4357,4.0/12.01 = 0.3330,14.0/4.94 = 2.8354,1.0/18.32 = 0.0546,1.0/0.26 = 3.8379,39.0/50.69 = 0.7693,1.0/0.48 = 2.0745,1.0/1.62 = 0.6190,3.0/0.23 = 12.7928
K,480.0/513.75 = 0.9343,714.0/764.55 = 0.9339,625.0/647.44 = 0.9653,58.0/141.22 = 0.4107,44.0/105.76 = 0.4160,4.0/9.89 = 0.4043,258.0/47.10 = 5.4776,49.0/18.96 = 2.5839,44.0/7.80 = 5.6445,0.0/28.92 = 0.0000,0.0/0.41 = 0.0000,112.0/80.03 = 1.3995,0.0/0.76 = 0.0000,2.0/2.55 = 0.7842,0.0/0.37 = 0.0000
P,201.0/409.29 = 0.4911,362.0/609.10 = 0.5943,308.0/515.80 = 0.5971,64.0/112.51 = 0.5689,157.0/84.26 = 1.8634,7.0/7.88 = 0.8881,22.0/37.52 = 0.5863,34.0/15.11 = 2.2505,155.0/6.21 = 24.9586,393.0/23.04 = 17.0583,0.0/0.33 = 0.0000,126.0/63.76 = 1.9762,0.0/0.61 = 0.0000,32.0/2.03 = 15.7491,8.0/0.29 = 27.1235
Q,960.0/655.43 = 1.4647,732.0/975.41 = 0.7505,549.0/825.99 = 0.6647,318.0/180.17 = 1.7650,24.0/134.93 = 0.1779,140.0/12.62 = 11.0921,87.0/60.09 = 1.4478,2.0/24.19 = 0.0827,44.0/9.95 = 4.4243,38.0/36.89 = 1.0300,1.0/0.52 = 1.9055,93.0/102.10 = 0.9109,1.0/0.97 = 1.0300,5.0/3.25 = 1.5367,0.0/0.47 = 0.0000
T,981.0/676.24 = 1.4507,711.0/1006.37 = 0.7065,511.0/852.21 = 0.5996,39.0/185.88 = 0.2098,225.0/139.21 = 1.6163,7.0/13.02 = 0.5375,87.0/62.00 = 1.4033,119.0/24.96 = 4.7673,0.0/10.26 = 0.0000,368.0/38.06 = 9.6677,2.0/0.54 = 3.6937,38.0/105.34 = 0.3607,0.0/1.00 = 0.0000,0.0/3.36 = 0.0000,0.0/0.49 = 0.0000
b,54.0/165.34 = 0.3266,187.0/246.05 = 0.7600,162.0/208.36 = 0.7775,35.0/45.45 = 0.7701,272.0/34.04 = 7.9915,0.0/3.18 = 0.0000,19.0/15.16 = 1.2535,17.0/6.10 = 2.7855,0.0/2.51 = 0.0000,1.0/9.31 = 0.1074,17.0/0.13 = 128.4130,6.0/25.76 = 0.2330,0.0/0.24 = 0.0000,0.0/0.82 = 0.0000,2.0/0.12 = 16.7860
c,1668.0/1713.80 = 0.9733,1856.0/2550.46 = 0.7277,2343.0/2159.78 = 1.0848,593.0/471.09 = 1.2588,545.0/352.81 = 1.5448,12.0/33.00 = 0.3636,72.0/157.12 = 0.4582,22.0/63.26 = 0.3478,4.0/26.00 = 0.1538,3.0/96.47 = 0.0311,0.0/1.37 = 0.0000,701.0/266.97 = 2.6258,5.0/2.54 = 1.9695,2.0/8.51 = 0.2351,0.0/1.24 = 0.0000
d,1687.0/1338.67 = 1.2602,2070.0/1992.20 = 1.0391,1564.0/1687.04 = 0.9271,54.0/367.98 = 0.1467,158.0/275.58 = 0.5733,12.0/25.78 = 0.4655,127.0/122.73 = 1.0348,31.0/49.41 = 0.6274,0.0/20.31 = 0.0000,353.0/75.35 = 4.6846,0.0/1.07 = 0.0000,57.0/208.53 = 0.2733,0.0/1.98 = 0.0000,0.0/6.65 = 0.0000,0.0/0.96 = 0.0000
g,240.0/324.10 = 0.7405,294.0/482.33 = 0.6095,366.0/408.44 = 0.8961,378.0/89.09 = 4.2429,53.0/66.72 = 0.7944,28.0/6.24 = 4.4863,33.0/29.71 = 1.1106,3.0/11.96 = 0.2508,35.0/4.92 = 7.1171,0.0/18.24 = 0.0000,0.0/0.26 = 0.0000,20.0/50.49 = 0.3961,29.0/0.48 = 60.4048,1.0/1.61 = 0.6215,0.0/0.23 = 0.0000
k,7239.0/6036.19 = 1.1993,11933.0/8982.99 = 1.3284,5365.0/7606.98 = 0.7053,1157.0/1659.24 = 0.6973,155.0/1242.62 = 0.1247,37.0/116.24 = 0.3183,628.0/553.40 = 1.1348,148.0/222.81 = 0.6642,8.0/91.59 = 0.0873,6.0/339.77 = 0.0177,0.0/4.83 = 0.0000,830.0/940.30 = 0.8827,1.0/8.94 = 0.1118,57.0/29.97 = 1.9022,0.0/4.35 = 0.0000
