,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
C,4.0/6.45 = 0.6198,3.0/10.39 = 0.2888,4.0/9.13 = 0.4381,2.0/8.66 = 0.2310,4.0/7.40 = 0.5407,2.0/1.89 = 1.0588,0.0/1.73 = 0.0000,1.0/1.73 = 0.5775,7.0/1.42 = 4.9412,4.0/2.05 = 1.9548,0.0/0.79 = 0.0000,0.0/0.47 = 0.0000,0.0/2.36 = 0.0000,0.0/2.20 = 0.0000,0.0/0.47 = 0.0000
G,4.0/8.35 = 0.4789,8.0/13.44 = 0.5950,0.0/11.81 = 0.0000,7.0/11.20 = 0.6248,0.0/9.57 = 0.0000,2.0/2.44 = 0.8182,0.0/2.24 = 0.0000,0.0/2.24 = 0.0000,2.0/1.83 = 1.0909,0.0/2.65 = 0.0000,0.0/1.02 = 0.0000,1.0/0.61 = 1.6364,0.0/3.06 = 0.0000,0.0/2.85 = 0.0000,2.0/0.61 = 3.2727
K,1.0/3.80 = 0.2634,5.0/6.11 = 0.8182,4.0/5.37 = 0.7448,4.0/5.09 = 0.7855,0.0/4.35 = 0.0000,0.0/1.11 = 0.0000,1.0/1.02 = 0.9818,5.0/1.02 = 4.9091,0.0/0.83 = 0.0000,0.0/1.20 = 0.0000,0.0/0.46 = 0.0000,0.0/0.28 = 0.0000,0.0/1.39 = 0.0000,0.0/1.30 = 0.0000,0.0/0.28 = 0.0000
P,1.0/7.97 = 0.1254,6.0/12.83 = 0.4675,4.0/11.28 = 0.3547,5.0/10.69 = 0.4675,3.0/9.14 = 0.3283,4.0/2.33 = 1.7143,1.0/2.14 = 0.4675,1.0/2.14 = 0.4675,2.0/1.75 = 1.1429,1.0/2.53 = 0.3956,0.0/0.97 = 0.0000,2.0/0.58 = 3.4286,3.0/2.92 = 1.0286,4.0/2.72 = 1.4694,1.0/0.58 = 1.7143
Q,4.0/7.97 = 0.5017,5.0/12.83 = 0.3896,0.0/11.28 = 0.0000,3.0/10.69 = 0.2805,0.0/9.14 = 0.0000,1.0/2.33 = 0.4286,0.0/2.14 = 0.0000,0.0/2.14 = 0.0000,0.0/1.75 = 0.0000,6.0/2.53 = 2.3736,0.0/0.97 = 0.0000,2.0/0.58 = 3.4286,0.0/2.92 = 0.0000,3.0/2.72 = 1.1020,0.0/0.58 = 0.0000
T,3.0/5.69 = 0.5268,0.0/9.17 = 0.0000,2.0/8.06 = 0.2483,0.0/7.64 = 0.0000,4.0/6.53 = 0.6128,0.0/1.67 = 0.0000,6.0/1.53 = 3.9273,2.0/1.53 = 1.3091,0.0/1.25 = 0.0000,0.0/1.81 = 0.0000,0.0/0.69 = 0.0000,0.0/0.42 = 0.0000,0.0/2.08 = 0.0000,0.0/1.94 = 0.0000,0.0/0.42 = 0.0000
b,0.0/5.31 = 0.0000,5.0/8.56 = 0.5844,2.0/7.52 = 0.2660,0.0/7.13 = 0.0000,7.0/6.09 = 1.1489,0.0/1.56 = 0.0000,0.0/1.43 = 0.0000,0.0/1.43 = 0.0000,0.0/1.17 = 0.0000,0.0/1.69 = 0.0000,5.0/0.65 = 7.7143,0.0/0.39 = 0.0000,0.0/1.94 = 0.0000,0.0/1.81 = 0.0000,0.0/0.39 = 0.0000
c,10.0/12.15 = 0.8232,6.0/19.56 = 0.3068,16.0/17.19 = 0.9310,10.0/16.30 = 0.6136,6.0/13.93 = 0.4309,0.0/3.56 = 0.0000,0.0/3.26 = 0.0000,0.0/3.26 = 0.0000,0.0/2.67 = 0.0000,0.0/3.85 = 0.0000,0.0/1.48 = 0.0000,0.0/0.89 = 0.0000,0.0/4.44 = 0.0000,0.0/4.15 = 0.0000,0.0/0.89 = 0.0000
d,1.0/7.97 = 0.1254,4.0/12.83 = 0.3117,6.0/11.28 = 0.5320,1.0/10.69 = 0.0935,3.0/9.14 = 0.3283,5.0/2.33 = 2.1429,0.0/2.14 = 0.0000,3.0/2.14 = 1.4026,0.0/1.75 = 0.0000,2.0/2.53 = 0.7912,0.0/0.97 = 0.0000,1.0/0.58 = 1.7143,0.0/2.92 = 0.0000,0.0/2.72 = 0.0000,0.0/0.58 = 0.0000
g,4.0/13.29 = 0.3010,8.0/21.39 = 0.3740,6.0/18.80 = 0.3192,8.0/17.82 = 0.4488,0.0/15.23 = 0.0000,5.0/3.89 = 1.2857,4.0/3.56 = 1.1221,0.0/3.56 = 0.0000,0.0/2.92 = 0.0000,0.0/4.21 = 0.0000,0.0/1.62 = 0.0000,0.0/0.97 = 0.0000,12.0/4.86 = 2.4686,0.0/4.54 = 0.0000,0.0/0.97 = 0.0000
