,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
p,607.0/521.85 = 1.1632,444.0/540.67 = 0.8212,421.0/664.45 = 0.6336,351.0/321.94 = 1.0903,414.0/431.83 = 0.9587,83.0/238.24 = 0.3484,44.0/163.52 = 0.2691,177.0/145.58 = 1.2158,32.0/119.39 = 0.2680,526.0/234.20 = 2.2459,13.0/77.72 = 0.1673,70.0/166.51 = 0.4204,77.0/100.05 = 0.7697,183.0/233.32 = 0.7843,250.0/115.17 = 2.1708
t,753.0/736.84 = 1.0219,537.0/763.40 = 0.7034,1846.0/938.18 = 1.9676,225.0/454.57 = 0.4950,574.0/609.73 = 0.9414,199.0/336.39 = 0.5916,49.0/230.88 = 0.2122,205.0/205.56 = 0.9973,23.0/168.57 = 0.1364,245.0/330.68 = 0.7409,71.0/109.73 = 0.6470,155.0/235.10 = 0.6593,122.0/141.26 = 0.8636,159.0/329.44 = 0.4826,50.0/162.61 = 0.3075
k,676.0/733.45 = 0.9217,1357.0/759.89 = 1.7858,950.0/933.86 = 1.0173,557.0/452.47 = 1.2310,366.0/606.92 = 0.6030,143.0/334.85 = 0.4271,97.0/229.82 = 0.4221,69.0/204.61 = 0.3372,82.0/167.79 = 0.4887,104.0/329.16 = 0.3160,61.0/109.23 = 0.5585,133.0/234.02 = 0.5683,105.0/140.61 = 0.7467,406.0/327.93 = 1.2381,83.0/161.86 = 0.5128
c,381.0/256.12 = 1.4876,13.0/265.35 = 0.0490,278.0/326.10 = 0.8525,270.0/158.00 = 1.7088,72.0/211.94 = 0.3397,53.0/116.93 = 0.4533,10.0/80.25 = 0.1246,21.0/71.45 = 0.2939,18.0/58.59 = 0.3072,140.0/114.94 = 1.2180,4.0/38.14 = 0.1049,4.0/81.72 = 0.0489,163.0/49.10 = 3.3197,187.0/114.51 = 1.6330,202.0/56.52 = 3.5738
q,283.0/440.86 = 0.6419,548.0/456.75 = 1.1998,30.0/561.32 = 0.0534,366.0/271.97 = 1.3457,809.0/364.81 = 2.2176,145.0/201.27 = 0.7204,161.0/138.14 = 1.1655,21.0/122.99 = 0.1707,176.0/100.86 = 1.7450,10.0/197.85 = 0.0505,270.0/65.65 = 4.1125,135.0/140.67 = 0.9597,5.0/84.52 = 0.0592,146.0/197.11 = 0.7407,14.0/97.29 = 0.1439
P,1.0/39.01 = 0.0256,3.0/40.42 = 0.0742,13.0/49.67 = 0.2617,3.0/24.07 = 0.1247,7.0/32.28 = 0.2168,6.0/17.81 = 0.3369,1.0/12.22 = 0.0818,1.0/10.88 = 0.0919,16.0/8.92 = 1.7927,129.0/17.51 = 7.3681,0.0/5.81 = 0.0000,9.0/12.45 = 0.7230,22.0/7.48 = 2.9416,49.0/17.44 = 2.8093,21.0/8.61 = 2.4392
T,97.0/88.20 = 1.0998,4.0/91.38 = 0.0438,81.0/112.30 = 0.7213,16.0/54.41 = 0.2941,13.0/72.99 = 0.1781,14.0/40.27 = 0.3477,46.0/27.64 = 1.6644,234.0/24.61 = 9.5100,7.0/20.18 = 0.3469,65.0/39.58 = 1.6421,3.0/13.13 = 0.2284,10.0/28.14 = 0.3553,25.0/16.91 = 1.4785,9.0/39.43 = 0.2282,3.0/19.46 = 0.1541
K,4.0/91.73 = 0.0436,152.0/95.04 = 1.5993,72.0/116.80 = 0.6164,9.0/56.59 = 0.1590,9.0/75.91 = 0.1186,31.0/41.88 = 0.7402,118.0/28.74 = 4.1052,45.0/25.59 = 1.7584,84.0/20.99 = 4.0026,1.0/41.17 = 0.0243,17.0/13.66 = 1.2444,31.0/29.27 = 1.0591,1.0/17.59 = 0.0569,116.0/41.01 = 2.8283,1.0/20.24 = 0.0494
C,10.0/50.74 = 0.1971,0.0/52.57 = 0.0000,4.0/64.61 = 0.0619,2.0/31.30 = 0.0639,0.0/41.99 = 0.0000,155.0/23.17 = 6.6908,0.0/15.90 = 0.0000,44.0/14.16 = 3.1082,85.0/11.61 = 7.3220,39.0/22.77 = 1.7126,0.0/7.56 = 0.0000,0.0/16.19 = 0.0000,6.0/9.73 = 0.6168,1.0/22.69 = 0.0441,13.0/11.20 = 1.1609
Q,4.0/196.05 = 0.0204,8.0/203.12 = 0.0394,1.0/249.62 = 0.0040,2.0/120.94 = 0.0165,58.0/162.23 = 0.3575,392.0/89.50 = 4.3797,366.0/61.43 = 5.9580,0.0/54.69 = 0.0000,147.0/44.85 = 3.2775,38.0/87.98 = 0.4319,1.0/29.20 = 0.0343,353.0/62.55 = 5.6432,0.0/37.58 = 0.0000,18.0/87.65 = 0.2054,0.0/43.27 = 0.0000
b,0.0/2.83 = 0.0000,0.0/2.93 = 0.0000,0.0/3.60 = 0.0000,0.0/1.74 = 0.0000,0.0/2.34 = 0.0000,0.0/1.29 = 0.0000,2.0/0.89 = 2.2578,0.0/0.79 = 0.0000,0.0/0.65 = 0.0000,1.0/1.27 = 0.7882,17.0/0.42 = 40.3808,0.0/0.90 = 0.0000,0.0/0.54 = 0.0000,0.0/1.26 = 0.0000,1.0/0.62 = 1.6029
d,154.0/97.67 = 1.5767,6.0/101.19 = 0.0593,83.0/124.36 = 0.6674,32.0/60.25 = 0.5311,133.0/80.82 = 1.6456,94.0/44.59 = 2.1081,36.0/30.60 = 1.1763,30.0/27.25 = 1.1010,9.0/22.34 = 0.4028,33.0/43.83 = 0.7529,1.0/14.55 = 0.0688,47.0/31.16 = 1.5082,15.0/18.72 = 0.8011,36.0/43.67 = 0.8244,18.0/21.55 = 0.8351
g,1.0/4.10 = 0.2440,0.0/4.25 = 0.0000,0.0/5.22 = 0.0000,0.0/2.53 = 0.0000,0.0/3.39 = 0.0000,0.0/1.87 = 0.0000,0.0/1.28 = 0.0000,0.0/1.14 = 0.0000,0.0/0.94 = 0.0000,1.0/1.84 = 0.5436,0.0/0.61 = 0.0000,0.0/1.31 = 0.0000,28.0/0.79 = 35.6308,0.0/1.83 = 0.0000,1.0/0.90 = 1.1054
z,1.0/7.35 = 0.1361,1.0/7.62 = 0.1313,0.0/9.36 = 0.0000,2.0/4.53 = 0.4411,0.0/6.08 = 0.0000,32.0/3.36 = 9.5364,0.0/2.30 = 0.0000,2.0/2.05 = 0.9754,0.0/1.68 = 0.0000,2.0/3.30 = 0.6063,0.0/1.09 = 0.0000,0.0/2.35 = 0.0000,1.0/1.41 = 0.7097,17.0/3.29 = 5.1731,0.0/1.62 = 0.0000
G,2.0/1.98 = 1.0107,2.0/2.05 = 0.9755,0.0/2.52 = 0.0000,0.0/1.22 = 0.0000,1.0/1.64 = 0.6107,8.0/0.90 = 8.8552,0.0/0.62 = 0.0000,0.0/0.55 = 0.0000,0.0/0.45 = 0.0000,0.0/0.89 = 0.0000,2.0/0.29 = 6.7867,0.0/0.63 = 0.0000,0.0/0.38 = 0.0000,0.0/0.88 = 0.0000,3.0/0.44 = 6.8696
