,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
p,2.0/2.37 = 0.8439,3.0/1.93 = 1.5536,5.0/1.84 = 2.7126,7.0/1.84 = 3.7976,2.0/3.51 = 0.5696,1.0/1.40 = 0.7121,1.0/0.88 = 1.1393,1.0/1.32 = 0.7595,4.0/2.02 = 1.9814,2.0/0.88 = 2.2786,0.0/0.53 = 0.0000,2.0/1.58 = 1.2659,2.0/1.93 = 1.0357,3.0/2.11 = 1.4241,3.0/0.97 = 3.1071
t,6.0/3.55 = 1.6878,7.0/2.90 = 2.4167,8.0/2.76 = 2.8934,3.0/2.76 = 1.0850,3.0/5.27 = 0.5696,3.0/2.11 = 1.4241,2.0/1.32 = 1.5190,3.0/1.97 = 1.5190,1.0/3.03 = 0.3302,4.0/1.32 = 3.0381,4.0/0.79 = 5.0635,1.0/2.37 = 0.4220,6.0/2.90 = 2.0714,5.0/3.16 = 1.5823,3.0/1.45 = 2.0714
k,5.0/4.57 = 1.0940,5.0/3.72 = 1.3426,3.0/3.55 = 0.8439,8.0/3.55 = 2.2504,0.0/6.77 = 0.0000,1.0/2.71 = 0.3692,1.0/1.69 = 0.5907,1.0/2.54 = 0.3938,1.0/3.89 = 0.2568,0.0/1.69 = 0.0000,1.0/1.02 = 0.9846,1.0/3.05 = 0.3282,3.0/3.72 = 0.8056,4.0/4.06 = 0.9846,0.0/1.86 = 0.0000
c,6.0/0.85 = 7.0889,0.0/0.69 = 0.0000,6.0/0.66 = 9.1143,6.0/0.66 = 9.1143,4.0/1.25 = 3.1900,4.0/0.50 = 7.9750,0.0/0.31 = 0.0000,3.0/0.47 = 6.3800,1.0/0.72 = 1.3870,1.0/0.31 = 3.1900,1.0/0.19 = 5.3167,0.0/0.56 = 0.0000,6.0/0.69 = 8.7000,0.0/0.75 = 0.0000,3.0/0.34 = 8.7000
q,5.0/2.37 = 2.1098,3.0/1.93 = 1.5536,0.0/1.84 = 0.0000,3.0/1.84 = 1.6276,4.0/3.51 = 1.1393,1.0/1.40 = 0.7121,3.0/0.88 = 3.4179,0.0/1.32 = 0.0000,1.0/2.02 = 0.4953,0.0/0.88 = 0.0000,1.0/0.53 = 1.8988,3.0/1.58 = 1.8988,0.0/1.93 = 0.0000,2.0/2.11 = 0.9494,0.0/0.97 = 0.0000
P,0.0/0.51 = 0.0000,1.0/0.41 = 2.4167,0.0/0.39 = 0.0000,0.0/0.39 = 0.0000,0.0/0.75 = 0.0000,1.0/0.30 = 3.3229,0.0/0.19 = 0.0000,0.0/0.28 = 0.0000,1.0/0.43 = 2.3116,1.0/0.19 = 5.3167,0.0/0.11 = 0.0000,1.0/0.34 = 2.9537,1.0/0.41 = 2.4167,1.0/0.45 = 2.2153,2.0/0.21 = 9.6667
T,0.0/0.25 = 0.0000,0.0/0.21 = 0.0000,0.0/0.20 = 0.0000,0.0/0.20 = 0.0000,0.0/0.38 = 0.0000,1.0/0.15 = 6.6458,3.0/0.09 = 31.9000,1.0/0.14 = 7.0889,0.0/0.22 = 0.0000,0.0/0.09 = 0.0000,0.0/0.06 = 0.0000,0.0/0.17 = 0.0000,2.0/0.21 = 9.6667,1.0/0.23 = 4.4306,0.0/0.10 = 0.0000
K,0.0/1.44 = 0.0000,0.0/1.17 = 0.0000,0.0/1.12 = 0.0000,0.0/1.12 = 0.0000,0.0/2.13 = 0.0000,1.0/0.85 = 1.1728,1.0/0.53 = 1.8765,1.0/0.80 = 1.2510,0.0/1.23 = 0.0000,0.0/0.53 = 0.0000,0.0/0.32 = 0.0000,1.0/0.96 = 1.0425,0.0/1.17 = 0.0000,2.0/1.28 = 1.5637,0.0/0.59 = 0.0000
C,0.0/0.25 = 0.0000,0.0/0.21 = 0.0000,0.0/0.20 = 0.0000,0.0/0.20 = 0.0000,0.0/0.38 = 0.0000,2.0/0.15 = 13.2917,0.0/0.09 = 0.0000,0.0/0.14 = 0.0000,3.0/0.22 = 13.8696,0.0/0.09 = 0.0000,0.0/0.06 = 0.0000,0.0/0.17 = 0.0000,0.0/0.21 = 0.0000,0.0/0.23 = 0.0000,1.0/0.10 = 9.6667
Q,0.0/0.59 = 0.0000,0.0/0.48 = 0.0000,0.0/0.46 = 0.0000,0.0/0.46 = 0.0000,0.0/0.88 = 0.0000,1.0/0.35 = 2.8482,0.0/0.22 = 0.0000,0.0/0.33 = 0.0000,3.0/0.50 = 5.9441,1.0/0.22 = 4.5571,0.0/0.13 = 0.0000,1.0/0.39 = 2.5317,0.0/0.48 = 0.0000,0.0/0.53 = 0.0000,0.0/0.24 = 0.0000
