,p,t,k,c,q,P,T,K,C,Q,b,d,g,z,G
C,76.0/65.63 = 1.1580,95.0/103.06 = 0.9218,47.0/91.84 = 0.5117,7.0/17.47 = 0.4007,167.0/19.09 = 8.7503,13.0/1.30 = 10.0287,4.0/5.33 = 0.7511,75.0/3.24 = 23.1511,19.0/1.26 = 15.1259,147.0/4.45 = 33.0587,0.0/0.86 = 0.0000,0.0/14.18 = 0.0000,0.0/2.33 = 0.0000,0.0/1.75 = 0.0000,0.0/2.29 = 0.0000
G,272.0/95.44 = 2.8499,86.0/149.88 = 0.5738,23.0/133.57 = 0.1722,84.0/25.41 = 3.3063,16.0/27.76 = 0.5765,20.0/1.89 = 10.6091,8.0/7.75 = 1.0329,0.0/4.71 = 0.0000,0.0/1.83 = 0.0000,1.0/6.47 = 0.1546,1.0/1.26 = 0.7964,0.0/20.62 = 0.0000,0.0/3.39 = 0.0000,1.0/2.54 = 0.3936,0.0/3.34 = 0.0000
K,114.0/162.14 = 0.7031,360.0/254.61 = 1.4139,60.0/226.91 = 0.2644,35.0/43.16 = 0.8109,8.0/47.15 = 0.1697,1.0/3.20 = 0.3122,230.0/13.16 = 17.4804,10.0/8.00 = 1.2494,44.0/3.10 = 14.1782,0.0/10.99 = 0.0000,0.0/2.13 = 0.0000,5.0/35.03 = 0.1427,0.0/5.76 = 0.0000,0.0/4.32 = 0.0000,0.0/5.67 = 0.0000
P,48.0/108.63 = 0.4419,73.0/170.58 = 0.4279,6.0/152.02 = 0.0395,31.0/28.92 = 1.0721,137.0/31.59 = 4.3369,1.0/2.15 = 0.4661,12.0/8.82 = 1.3613,25.0/5.36 = 4.6623,126.0/2.08 = 60.6020,382.0/7.36 = 51.9016,0.0/1.43 = 0.0000,14.0/23.47 = 0.5965,0.0/3.86 = 0.0000,29.0/2.89 = 10.0291,1.0/3.80 = 0.2634
Q,440.0/190.29 = 2.3122,171.0/298.82 = 0.5722,32.0/266.31 = 0.1202,183.0/50.65 = 3.6127,10.0/55.34 = 0.1807,127.0/3.76 = 33.7889,63.0/15.44 = 4.0798,0.0/9.39 = 0.0000,44.0/3.64 = 12.0806,1.0/12.89 = 0.0776,0.0/2.50 = 0.0000,8.0/41.11 = 0.1946,0.0/6.76 = 0.0000,2.0/5.07 = 0.3948,0.0/6.65 = 0.0000
T,724.0/234.18 = 3.0916,354.0/367.74 = 0.9626,44.0/327.73 = 0.1343,8.0/62.34 = 0.1283,201.0/68.10 = 2.9515,5.0/4.63 = 1.0810,64.0/19.00 = 3.3677,117.0/11.56 = 10.1212,0.0/4.48 = 0.0000,367.0/15.87 = 23.1297,2.0/3.08 = 0.6491,0.0/50.59 = 0.0000,0.0/8.32 = 0.0000,0.0/6.23 = 0.0000,0.0/8.18 = 0.0000
b,12.0/39.73 = 0.3020,107.0/62.39 = 1.7149,56.0/55.61 = 1.0071,25.0/10.58 = 2.3637,141.0/11.55 = 12.2029,0.0/0.78 = 0.0000,3.0/3.22 = 0.9304,17.0/1.96 = 8.6675,0.0/0.76 = 0.0000,1.0/2.69 = 0.3715,2.0/0.52 = 3.8259,2.0/8.58 = 0.2330,0.0/1.41 = 0.0000,0.0/1.06 = 0.0000,1.0/1.39 = 0.7201
c,564.0/545.99 = 1.0330,887.0/857.39 = 1.0345,530.0/764.09 = 0.6936,338.0/145.34 = 2.3256,495.0/158.78 = 3.1176,3.0/10.78 = 0.2782,15.0/44.31 = 0.3385,8.0/26.95 = 0.2968,2.0/10.45 = 0.1914,3.0/36.99 = 0.0811,0.0/7.18 = 0.0000,4.0/117.96 = 0.0339,0.0/19.40 = 0.0000,1.0/14.53 = 0.0688,0.0/19.08 = 0.0000
d,654.0/464.33 = 1.4085,906.0/729.15 = 1.2425,95.0/649.81 = 0.1462,16.0/123.60 = 0.1294,122.0/135.03 = 0.9035,3.0/9.17 = 0.3271,13.0/37.68 = 0.3450,13.0/22.92 = 0.5672,0.0/8.89 = 0.0000,353.0/31.46 = 11.2204,0.0/6.11 = 0.0000,1.0/100.32 = 0.0100,0.0/16.50 = 0.0000,0.0/12.36 = 0.0000,0.0/16.23 = 0.0000
g,58.0/90.45 = 0.6412,148.0/142.04 = 1.0419,82.0/126.59 = 0.6478,344.0/24.08 = 14.2868,47.0/26.30 = 1.7868,16.0/1.79 = 8.9553,16.0/7.34 = 2.1797,0.0/4.47 = 0.0000,34.0/1.73 = 19.6385,0.0/6.13 = 0.0000,0.0/1.19 = 0.0000,1.0/19.54 = 0.0512,6.0/3.21 = 1.8671,1.0/2.41 = 0.4153,0.0/3.16 = 0.0000
